ID	Title	Brand	MPN	UPC	link	Price	Availability	Description	Image_link	custom_label_0	Condition
241	iPhone 4 LCD Digitizer Touch Screen - (White,CDMA/GSM)	APPLE	AAPL-i4-102		https://www.phonepartworld.com/iPhone-4-LCD-Digitizer-Touch-Screen-White	31.1	In Stock	Have you accidentally dropped your iPhone 4 and realized that your screen has been broken? We all know how it feels, but don't worry. This screen assembly for iPhone 4 includes both the touch screen and LCD screen. If your iPhone 4 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your iPhone 4 may have! Features: iPhone 4 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled High Quality OEM LCD Screen Replacement Part Resolution: 960 * 640 pixels 16 Million Colors Display Type: IPS LCD capacitive touchscreen Frame and LCD Preattached Screen Size: 3.5 inches Connector: Clip Color: White Eligible For:  Wireless Carrier: Select CDMA or GSM based on your wireless carrier * Compatibility: 	https://www.phonepartworld.com/image/data/Products/iPhone%204S/iPhone_4S_LCD-Digitizer-Screen-Assembly-white.jpeg	APPLE	New
247	iPhone 5C Original Back Camera	For Apple	AAPL-i5C-107		https://www.phonepartworld.com/iPhone-5C-OEM-Back-Camera-Replacement	11.99	In Stock	Replace your iPhone 5C's Back Camera with this part and make it take pictures like before. If the rear camera on your iPhone 5C has been damaged due to a drop, not focusing or maybe not responding at all then this part can help you bring it back to life! Features: OEM iPhone 5C 8 Megapixel Rear Camera Apple Part # : 821-1707 / 923-0549 Compatibility : 	https://www.phonepartworld.com/image/data/Products/iPhone%205C/Apple-iPhone-5C-Back-Camera.png	APPLE > iPhone > iPhone 5C	New
257	iPhone 5 Back Housing Replacement (Silver)	For Apple	AAPL-i5-110		https://www.phonepartworld.com/iPhone-5-Aluminium-Back-Housing-Replacement-Silver-White	37.5	In Stock	Have you accidentally dropped, dented or damaged your iPhone 5 back housing? Well, good news. Using this replacement part, which is very easy to install, you can change your scratched iPhone 5 back cover and make it look like brand new. Do it yourself and save yourself the cost of buying a new phone or having someone else doing this repair for you. This iPhone 5 OEM back cover includes the lens ring and LED diffuser pre-installed. Features: OEM iPhone 5 Back Housing Metal mounting tabs for screwing the two bottom screws Phone 5 Aluminum Back Housing includes chrome lens ring and LED flash diffuser Color: Silver & White   Eligible For:  Compatibility : 	https://www.phonepartworld.com/image/data/Products/iPhone%205/iphone-5-Back-Housing-White.jpg	APPLE	New
298	iPad 3 Screen Digitizer Assembly (Home Button and Adhesive) - White	APPLE	AAPL-iPA3-102		https://www.phonepartworld.com/iPad-3-Screen-Digitizer-Assembly-White	29.99	Out of Stock	 Looking for an all-in-one fix for your shattered iPad 3 front screen and digitizer? Well, look no further. This screen assembly for iPad 3rd generation includes the touch screen, home button and adhesive stripes pre-installed so that you can easily install it on your device. If your iPad has been dropped or damaged for any reason, this is the replacement screen for you! Use this brand new replacement screen assembly to resolve nearly any touch screen or cosmetic issues your iPad 3 may have! Features: Pre-installed iPad 3 Home Button Assembly Pre-installed Front Facing Camera Bracket Pre-installed Advesive Stripes High Quality OEM Digitizer Screen Replacement Part Color: White  Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/iPad%203/apple-iPad-3-screen-digitizer-button-adhesive-Front-white.jpg	APPLE	New
306	Samsung Galaxy S3 LCD Digitizer Touch Screen - White	For Samsung	SMG-GS3-102		https://www.phonepartworld.com/samsung-galaxy-s3-LCD-digitizer-assembly-White	89.5	In Stock	Say goodbye to that cracked screen. This LCD Digitizer screen replacement for Galaxy S3 includes both the touch screen and LCD screen. If your Galaxy S3 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new replacement assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your Galaxy S3 may have! Our Samsung Galaxy S3 LCD screens go through a rigorous testing and selection process so that you can rest assured that the replacement screen you receive carries the same quality and craftsmanship that was put into your device when you first bought it. Features: Samsung Galaxy S3 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Resolution:1280 x 720 Pixels, 306 ppi Pixel Density, 16M Colors Original OEM Galaxy S3 Screen Assembly Replacement Part Display Type: AMOLED Capacitive Touchscreen Original OEM LCD Screen Replacement Part Screen Size: 4.8 inches Color: White Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Galaxy%20S3/Samsung-Galaxy-S3-Touch-Screen-Digitizer-plus-LCD-Display-White.png	SAMSUNG	New
310	Samsung Galaxy S3 LCD Digitizer Touch Screen - Red, Original	SAMSUNG	SMG-GS3-103		https://www.phonepartworld.com/Samsung-Galaxy-S3-LCD-Digitizer-Touch-Screen-Red-Original	134.99	In Stock	Say goodbye to that cracked screen. Have you accidentally dropped your Samsung Galaxy S3 and realized that its screen has been broken? We all know how it feels, but that's alright! This LCD Digitizer screen for Galaxy S3 includes both the touch screen and LCD screen. If your Galaxy S3 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your Galaxy S3 may have! Features: Samsung Galaxy S3 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Resolution:1280 x 720 Pixels, 306 ppi Pixel Density, 16M Colors Original OEM Galaxy S3 Screen Assembly Replacement Part Display Type: AMOLED Capacitive Touchscreen Original OEM LCD Screen Replacement Part Screen Size: 4.8 inches Color: Red Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Galaxy%20S3/1-Samsung-Galaxy-S3-LCD-Digitizer-Replacement-Part-Red-2.jpg	SAMSUNG	New
312	Samsung Galaxy S3 LCD Digitizer Touch Screen - Blue	For Samsung	SMG-GS3-104		https://www.phonepartworld.com/Samsung-Galaxy-S3-LCD-Digitizer-Touch-Screen-Blue-Original	98.99	In Stock	Say goodbye to that cracked screen. Have you accidentally dropped your Samsung Galaxy S3 and realized that its screen has been broken? We all know how it feels, but that's alright! This LCD Digitizer screen for Galaxy S3 includes both the touch screen and LCD screen. If your Galaxy S3 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your Galaxy S3 may have! Features: Samsung Galaxy S3 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Resolution:1280 x 720 Pixels, 306 ppi Pixel Density, 16M Colors Original OEM Galaxy S3 Screen Assembly Replacement Part Display Type: AMOLED Capacitive Touchscreen Original OEM LCD Screen Replacement Part Screen Size: 4.8 inches Color: Blue Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Galaxy%20S3/1-Samsung-Galaxy-S3-LCD-Display-Touch-Screen-Digitizer-Assembly-Blue.jpg	SAMSUNG	New
328	Samsung Galaxy S3 Replacement Battery	For Samsung	SMG-GS3-113		https://www.phonepartworld.com/Samsung-Galaxy-S3-Replacement-Battery	19.99	In Stock	Say goodbye to that dying battery! If your Galaxy S3 has been dropped in water or been in a hot environment and stopped holding charge, then this is the part you need to fix. This is the Original Samsung Galaxy S3 Battery used in your Galaxy S3. It is the replacement needed when your phone's battery no longer holds the charge. This battery is easy to replace if you have a basic knowledge in repairs. Specifications: 2100 mAH EB-L1G6LLA - Original  Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Galaxy%20S3/Samsung-Galaxy-S3-Replacement-Battery-1.jpg	SAMSUNG	New
363	Samsung Galaxy S4 Replacement Battery	For Apple	SMG-GS4-113		https://www.phonepartworld.com/Samsung-Galaxy-S4-Replacement-Battery	19.99	In Stock	Say goodbye to that dying battery! If your Galaxy S4 has been dropped in water or been in a hot environment and stopped holding charge, then this is the part you need to fix. This is the Original Samsung Galaxy S4 Battery used in your Galaxy S4. It is the replacement needed when your phone's battery no longer holds the charge. This battery is easy to replace if you have a basic knowledge in repairs. Specifications: 2600 mAH OEM Galaxy S4 Battery  Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Galaxy%20S4/Samsung-Galaxy-S4-Replacement-Battery-1.jpg	SAMSUNG	New
398	Samsung Galaxy Note 2 LCD Digitizer Assembly + Front Frame - Gray	SAMSUNG	SMG-NT2-201		https://www.phonepartworld.com/Samsung-Galaxy-Note-2-LCD-Digitizer-Assembly--Front-Housing-Frame-Gray-Original	165.55	In Stock	Say Goodbye To That Cracked Frame & Screen! Have you accidentally dropped your Samsung Galaxy Note 2 and realized that its screen and frame have been cracked or broken? We all know how it feels, but that's alright! This LCD Digitizer Screen Assembly for Galaxy Note 2 includes the touch screen digitizer and LCD screen in addition to the front/back housing frame. If your Galaxy Note 2 has been dropped or damaged for any reason, this is the replacement screen assembly for you! This brand new assembly includes both screens (LCD + Digitizer) and the frame, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen or frame, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your Galaxy Note 2 may have and make it look like brand new! Features: Samsung Galaxy Note 2 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Original OEM Galaxy Note 2 LCD Screen Assembly Replacement Part Front Housing Frame Color: Gray Galaxy Note 2 Model: Select Model Based on Wireless Carrier. Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Note%202/1-Samsung-Galaxy-Note-2-LCD-Digitizer-Replacement-With-Frame-Gray.jpg	SAMSUNG	New
404	Samsung Galaxy Note 2 LCD Digitizer Touch Screen - Gray, Original	For Samsung	SMG-NT2-101		https://www.phonepartworld.com/Samsung-Galaxy-Note-2-LCD-Digitizer-Touch-Screen-Black-Original	159.99	In Stock	Say Goodbye To That Cracked Screen. Have you accidentally dropped your Samsung Galaxy Note 2 and realized that its screen has been broken? We all know how it feels, but that's alright! This LCD screen for Galaxy Note 2 includes both the touch screen and LCD screen. If your Galaxy Note 2 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your Galaxy Note 2 may have! Features: Samsung Galaxy Note 2 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Resolution: 720 x 1280 Pixels, 256 ppi Pixel Density, 16M Colors Original OEM LCD Screen Replacement Part Glass Material: Corning Gorilla Glass 3 Display Type: Super AMOLED Screen Size: 5.5 inches Color: Gray Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Note%202/s1-Samsung-Galaxy-Note-2-LCD-Digitizer-Replacement-Gray.jpg	SAMSUNG	New
405	Samsung Galaxy Note 2 LCD Digitizer Touch Screen - White, Original	For Samsung	SMG-NT2-102		https://www.phonepartworld.com/Samsung-Galaxy-Note-2-LCD-Digitizer-Touch-Screen-White-Original	139.99	In Stock	Say goodbye to that cracked screen. Have you accidentally dropped your Samsung Galaxy Note 2 and realized that its screen has been broken? We all know how it feels, but that's alright! This LCD Digitizer screen for Galaxy Note 2 includes both the touch screen and LCD screen. If your Galaxy Note 2 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your Galaxy Note 2 may have! Features: Samsung Galaxy Note 2 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Resolution: 720 x 1280 Pixels, 256 ppi Pixel Density, 16M Colors Original OEM LCD Screen Replacement Part Glass Material: Corning Gorilla Glass 3 Display Type: Super AMOLED Screen Size: 5.5 inches Color: White Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Note%202/1-Samsung-Galaxy-Note-2-LCD-Digitizer-Replacement-White.jpg	SAMSUNG	New
430	Samsung Galaxy Note 3 LCD Digitizer Touch Screen - Black, Original	For Samsung	SMG-NT3-101		https://www.phonepartworld.com/Samsung-Galaxy-Note-3-LCD-Digitizer-Touch-Screen-Black-Original	169.99	In Stock	Say Goodbye To That Cracked Screen. Have you accidentally dropped your Samsung Galaxy Note 3 and realized that its screen has been broken? We all know how it feels, but that's alright! This LCD screen for Galaxy Note 3 includes both the touch screen and LCD screen. If your Galaxy Note 3 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your Galaxy Note 3 may have! Features: Samsung Galaxy Note 3 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Original OEM Galaxy Note 3 LCD Digitizer Screen Replacement Part Color:Black Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Note%203/Samsung-Galaxy-Note-3-Touch-Screen-Digitizer-Plus-LCD-Display-Black.png	SAMSUNG	New
431	Samsung Galaxy Note 3 LCD Digitizer Touch Screen - White, Original	-	SMG-NT3-102		https://www.phonepartworld.com/Samsung-Galaxy-Note-3-LCD-Digitizer-Touch-Screen-White-Original	169.99	In Stock	Say goodbye to that cracked screen. Have you accidentally dropped your Samsung Galaxy Note 3 and realized that its screen has been broken? We all know how it feels, but that's alright! This LCD Digitizer screen for Galaxy Note 3 includes both the touch screen and LCD screen. If your Galaxy Note 3 has been dropped or damaged for any reason, this is the replacement screen for you! This brand new assembly includes both screens, allowing you to repair damages like broken LCD displays, discoloration, dead pixels, scratched touch screen, and much more! Use this brand new replacement screen assembly to resolve nearly any display or cosmetic issues your Galaxy Note 3 may have! Features: Samsung Galaxy Note 3 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled High Quality OEM LCD Screen Replacement Part Color: White Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Note%203/1-Samsung-Galaxy-Note-3-LCD-Digitizer-Replacement-White.jpg	SAMSUNG	New
514	iPhone 5 LCD Screen Full Assembly + Front Camera & Home Button - Black	For Apple	AAPL-i5-201		https://www.phonepartworld.com/iPhone-5-LCD-Screen-Full-Assembly-with-Front-Camera-and-Home-Button-Black	79.99	In Stock	Fix That Cracked Screen! Looking for an easy all-in-one fix for your shattered iPhone 5 LCD Screen? Well, look no further. In addition to the LCD and digitizer, this LCD assembly for iPhone 5 comes with the front camera and home button assemblies, earpiece speaker and LCD shield plate already pre-attached so that you can easily install it on your device without the need to move any of the components of your cracked front screen to the new one. This full screen assembly makes the process of fixing your shattered front screen as easy as possible. If your iPhone 5 has been dropped or damaged for any reason, this is the replacement screen for you! Use this brand new replacement screen assembly to resolve nearly any touch screen or cosmetic issues your iPhone 5 may have! (Not compatible with iPhone 5C/5S)  Features: Home Button Assembly, Front Camera Assembly ,Earpiece Speaker, LCD Shield Pre-Installed iPhone 5 Outer Glass + LCD Screen + Touch Digitizer Panel, Preassembled Display Type: LED-Backlit IPS LCD, Capacitive Touchscreen, 16M Colors Apple Part #: 821-1451-06, 821-1452, 821-1451-06, 821-1452-06 High Quality OEM LCD Screen Replacement Part Resolution: 1136 X 640 Pixels Frame And LCD Pre-Attached Screen Size: 4.0 Inches Connector Type: Buckle Color: Black Eligible For:  Compatibility: 	https://www.phonepartworld.com/image/data/Products/iPhone%205/1-Full-Apple-Iphone5-LCD-Digitizer-Touchscreen-Assemnbly-Replacement-Black.jpg	APPLE	New
524	Samsung Galaxy Tab 3 7" Touch Screen Digitizer (WiFi/3G) - Black	For Samsung	SMG-TB3-1-101		https://www.phonepartworld.com/Samsung-Galaxy-Tab-3-210-211-Touch-Screen-Digitizer-WiFi-3G-Black	19.5	In Stock	 Have you accidentally dropped your Samsung Galaxy Tab 3 and realized that its screen has been scratched or broken? Is the touch screen not as responsive as it used to be? We all know how it feels, but don't worry. This OEM touch screen digitizer for the 7" Galaxy Tab 3 will fix both cosmetic issues, and also issues relating to the touch screen sensitivity and responsiveness. If your Galaxy tablet has been dropped or damaged for any reason, this is the replacement screen for you! Use this brand new front screen digitizer to resolve nearly any display sensitivity or cosmetic issues your Samsung Galaxy Tablet may have! Features: OEM Touch Screen Digitizer Glass for Samsung Galaxy Tab 3 Size: 7.0 inches Protective Material: Oleophobic Coating Connector Type: Clip Color : Black Model: Must select Wi-Fi (SM-T210) or 3G (SM-T211) from option menu *  Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Galaxy%20Tab%203/1-Samsung-Galaxy-Tab-3-7-T210-Screen-digitizer-replacement-Black.jpg	SAMSUNG	New
525	Samsung Galaxy Tab 3 7" Touch Screen Digitizer (WiFi/3G) - White	For Samsung	SMG-TB3-1-102		https://www.phonepartworld.com/Samsung-Galaxy-Tab-3-210-211-Touch-Screen-Digitizer-WiFi-3G-White	19.5	In Stock	 Have you accidentally dropped your Samsung Galaxy Tab 3 and realized that its screen has been scratched or broken? Is the touch screen not as responsive as it used to be? We all know how it feels, but don't worry. This OEM touch screen digitizer for the 7" Galaxy Tab 3 will fix both cosmetic issues, and also issues relating to the touch screen sensitivity and responsiveness. If your Galaxy tablet has been dropped or damaged for any reason, this is the replacement screen for you! Use this brand new front screen digitizer to resolve nearly any display sensitivity or cosmetic issues your Samsung Galaxy Tablet may have! Features: OEM Touch Screen Digitizer Glass for Samsung Galaxy Tab 3 Size: 7.0 inches Protective Material: Oleophobic Coating Connector Type: Clip Color : White Model: Must select Wi-Fi (SM-T210) or 3G (SM-T211) from option menu *  Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Galaxy%20Tab%203/1-Samsung-Galaxy-Tab-3-7-T210-Screen-digitizer-replacement-White.jpg	SAMSUNG	New
526	Samsung Galaxy Tab 3 7" Touch Screen Digitizer (WiFi/3G) - Brown	For Samsung	SMG-TB3-1-103		https://www.phonepartworld.com/Samsung-Galaxy-Tab-3-210-211-Touch-Screen-Digitizer-WiFi-3G-Brown	19.5	In Stock	 Have you accidentally dropped your Samsung Galaxy Tab 3 and realized that its screen has been scratched or broken? Is the touch screen not as responsive as it used to be? We all know how it feels, but don't worry. This OEM touch screen digitizer for the 7" Galaxy Tab 3 will fix both cosmetic issues, and also issues relating to the touch screen sensitivity and responsiveness. If your Galaxy tablet has been dropped or damaged for any reason, this is the replacement screen for you! Use this brand new front screen digitizer to resolve nearly any display sensitivity or cosmetic issues your Samsung Galaxy Tablet may have! Features: OEM Touch Screen Digitizer Glass for Samsung Galaxy Tab 3 Size: 7.0 inches Protective Material: Oleophobic Coating Connector Type: Clip Color : Brown Model: Must select Wi-Fi (SM-T210) or 3G (SM-T211) from option menu *  Eligible For: Compatibility: 	https://www.phonepartworld.com/image/data/Products/SAMSUNG/Galaxy%20Tab%203/1-Samsung-Galaxy-Tab-3-7-T210-Screen-digitizer-replacement-Brown.jpg	SAMSUNG	New
